ID,RowID,LTARSite.Code,Category,DataSetVariableName,AttributeDescription,Units,TemporalResolution,TemporalResolutionStandard,StartDate,StartDateStandard,StartDateAgCROS,EndDate,EndDateStandard,EndDateAgCros,DateDif_yrs,ResponsiblePersons,StorageFormat,URLdataAccess,LocationIDoutsideNetwork,SpatialRepeats,SpatialDescription,PublicAccess,Network.Category,AgCROS.Table,AgCROS.VarName,NALT.Keywords,subsite,Repo.Name,Model.Name,NALT.Subject,ISO.Topic,Common.Experiment,trl
GACP1141,1898,GACP,Soils,O2_1_15cm_Avg,Soil O2,%,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",oxygen,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1142,1899,GACP,Soils,O2_2_5cm_Avg,Soil O2,%,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",oxygen,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1143,1900,GACP,Soils,O2_2_15cm_Avg,Soil O2,%,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",oxygen,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1144,1901,GACP,Soils,O2_1_Temp_5cm_Avg,O2 soil temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1145,1902,GACP,Soils,O2_1_Temp_15cm_Avg,O2 soil temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1146,1903,GACP,Soils,O2_2_Temp_5cm_Avg,O2 soil temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1147,1904,GACP,Soils,O2_2_Temp_15cm_Avg,O2 soil temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1148,1905,GACP,Soils,Dielect_perm_1_5cm_Avg,soil Dielectric permitivitty,unitless,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Saturated hydraulic conductivity, soil",Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1149,1906,GACP,Soils,Soil_temp_1_5cm_Avg,Soil moisture temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1150,1907,GACP,Soils,VWC_1_5cm_Avg,Volumetric Water Content,cm^3/cm^3,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1151,1908,GACP,Soils,Dielect_perm_1_15cm_Avg,soil Dielectric permitivitty,unitless,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Saturated hydraulic conductivity, soil",Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1152,1909,GACP,Soils,Soil_temp_1_15cm_Avg,Soil moisture temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1153,1910,GACP,Soils,VWC_1_15cm_Avg,Volumetric Water Content,cm^3/cm^3,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1154,1911,GACP,Soils,Dielect_perm_2_5cm_Avg,soil Dielectric permitivitty,unitless,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Saturated hydraulic conductivity, soil",Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1155,1912,GACP,Soils,Soil_temp_2_5cm_Avg,Soil moisture temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1156,1913,GACP,Soils,VWC_2_5cm_Avg,Volumetric Water Content,cm^3/cm^3,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1157,1914,GACP,Soils,Dielect_perm_2_15cm_Avg,soil Dielectric permitivitty,unitless,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Saturated hydraulic conductivity, soil",Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1158,1915,GACP,Soils,Soil_temp_2_15cm_Avg,Soil moisture temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1159,1916,GACP,Soils,VWC_2_15cm_Avg,Volumetric Water Content,cm^3/cm^3,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_10,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1160,1917,GACP,Soils,O2_1_5cm_Avg,Soil O2,%,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",oxygen,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1161,1918,GACP,Soils,O2_1_15cm_Avg,Soil O2,%,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",oxygen,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1162,1919,GACP,Soils,O2_2_5cm_Avg,Soil O2,%,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",oxygen,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1163,1920,GACP,Soils,O2_2_15cm_Avg,Soil O2,%,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",oxygen,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1164,1921,GACP,Soils,O2_1_Temp_5cm_Avg,O2 soil temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1165,1922,GACP,Soils,O2_1_Temp_15cm_Avg,O2 soil temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1166,1923,GACP,Soils,O2_2_Temp_5cm_Avg,O2 soil temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1167,1924,GACP,Soils,O2_2_Temp_15cm_Avg,O2 soil temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1168,1925,GACP,Soils,Dielect_perm_1_5cm_Avg,soil Dielectric permitivitty,unitless,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Saturated hydraulic conductivity, soil",Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1169,1926,GACP,Soils,Soil_temp_1_5cm_Avg,Soil moisture temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1170,1927,GACP,Soils,VWC_1_5cm_Avg,Volumetric Water Content,cm^3/cm^3,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1171,1928,GACP,Soils,Dielect_perm_1_15cm_Avg,soil Dielectric permitivitty,unitless,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Saturated hydraulic conductivity, soil",Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1172,1929,GACP,Soils,Soil_temp_1_15cm_Avg,Soil moisture temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1173,1930,GACP,Soils,VWC_1_15cm_Avg,Volumetric Water Content,cm^3/cm^3,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1174,1931,GACP,Soils,Dielect_perm_2_5cm_Avg,soil Dielectric permitivitty,unitless,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Saturated hydraulic conductivity, soil",Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1175,1932,GACP,Soils,Soil_temp_2_5cm_Avg,Soil moisture temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1176,1933,GACP,Soils,VWC_2_5cm_Avg,Volumetric Water Content,cm^3/cm^3,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1177,1934,GACP,Soils,Dielect_perm_2_15cm_Avg,soil Dielectric permitivitty,unitless,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Saturated hydraulic conductivity, soil",Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1178,1935,GACP,Soils,Soil_temp_2_15cm_Avg,Soil moisture temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1179,1936,GACP,Soils,VWC_2_15cm_Avg,Volumetric Water Content,cm^3/cm^3,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_17,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1180,1937,GACP,Soils,O2_1_5cm_Avg,Soil O2,%,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",oxygen,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1181,1938,GACP,Soils,O2_1_15cm_Avg,Soil O2,%,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",oxygen,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1182,1939,GACP,Soils,O2_2_5cm_Avg,Soil O2,%,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",oxygen,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1183,1940,GACP,Soils,O2_2_15cm_Avg,Soil O2,%,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",oxygen,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1184,1941,GACP,Soils,O2_1_Temp_5cm_Avg,O2 soil temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1185,1942,GACP,Soils,O2_1_Temp_15cm_Avg,O2 soil temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1186,1943,GACP,Soils,O2_2_Temp_5cm_Avg,O2 soil temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1187,1944,GACP,Soils,O2_2_Temp_15cm_Avg,O2 soil temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1188,1945,GACP,Soils,Dielect_perm_1_5cm_Avg,soil Dielectric permitivitty,unitless,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Saturated hydraulic conductivity, soil",Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1189,1946,GACP,Soils,Soil_temp_1_5cm_Avg,Soil moisture temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1190,1947,GACP,Soils,VWC_1_5cm_Avg,Volumetric Water Content,cm^3/cm^3,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1191,1948,GACP,Soils,Dielect_perm_1_15cm_Avg,soil Dielectric permitivitty,unitless,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Saturated hydraulic conductivity, soil",Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1192,1949,GACP,Soils,Soil_temp_1_15cm_Avg,Soil moisture temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1193,1950,GACP,Soils,VWC_1_15cm_Avg,Volumetric Water Content,cm^3/cm^3,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1194,1951,GACP,Soils,Dielect_perm_2_5cm_Avg,soil Dielectric permitivitty,unitless,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Saturated hydraulic conductivity, soil",Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1195,1952,GACP,Soils,Soil_temp_2_5cm_Avg,Soil moisture temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1196,1953,GACP,Soils,VWC_2_5cm_Avg,Volumetric Water Content,cm^3/cm^3,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1197,1954,GACP,Soils,Dielect_perm_2_15cm_Avg,soil Dielectric permitivitty,unitless,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Saturated hydraulic conductivity, soil",Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1198,1955,GACP,Soils,Soil_temp_2_15cm_Avg,Soil moisture temperature,Deg C,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1199,1956,GACP,Soils,VWC_2_15cm_Avg,Volumetric Water Content,cm^3/cm^3,15 min,15 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_24,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,15 min
GACP1200,1957,GACP,Soils,O2_1_5cm_Avg,Soil O2,%,1 min,1 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_9,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",oxygen,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,1 min
GACP1201,1958,GACP,Soils,O2_1_15cm_Avg,Soil O2,%,1 min,1 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_9,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",oxygen,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,1 min
GACP1202,1959,GACP,Soils,O2_2_5cm_Avg,Soil O2,%,1 min,1 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_9,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",oxygen,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,1 min
GACP1203,1960,GACP,Soils,O2_2_15cm_Avg,Soil O2,%,1 min,1 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_9,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",oxygen,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,1 min
GACP1204,1961,GACP,Soils,O2_1_Temp_5cm_Avg,O2 soil temperature,Deg C,1 min,1 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_9,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,1 min
GACP1205,1962,GACP,Soils,O2_1_Temp_15cm_Avg,O2 soil temperature,Deg C,1 min,1 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_9,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,1 min
GACP1206,1963,GACP,Soils,O2_2_Temp_5cm_Avg,O2 soil temperature,Deg C,1 min,1 minute,05/26/2016,2016-05-26,,04/05/2018,2018-04-05,,,Tim Strickland,.csv,,,,DN_OF_9,closed,Soil,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature,Soil,,,,"Natural Resources, Earth and Environmental Sciences",geoscientificInformation,,1 min
