Sort,ID,RowID,LTARSiteCode,Category,DataSetVariableName,AttributeDescription,Units,TemporalResolution,TemporalResolutionStandard,StartDate,StartDateStandard,StartDateAgCROS,EndDate,EndDateStandard,EndDateAgCros,DateDif_yrs,ResponsiblePersons,StorageFormat,URLdataAccess,LocationIDoutsideNetwork,SpatialRepeats,SpatialDescription,PublicAccess,Network.Category,AgCROS.Table,AgCROS.VarName,NALTKeywords,subsite,RepoName,ModelName,NALTSubject,ISOTopic,CommonExperiment,trl,AgCROS.VarNameC
1648,GACP0788,1545,GACP,Meteorology,RH_Avg,Relative humidty average,%,15 min,15 minute,9/11/2015,9/11/2015,NA,Present,now,NA,NA,David Bosch,.csv,https://ltar.nal.usda.gov/ltar/met/index,NA,NA,RG63,open,Meteorology,"WeatherDaily, WeatherStation","Relative humidity, air, daily, mean",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,15 min,relativeHumidity
1649,GACP0789,1546,GACP,Meteorology,atmospheric pressure,average atmospheric pressure,kPa,15 min,15 minute,9/11/2015,9/11/2015,NA,Present,now,NA,NA,David Bosch,.csv,https://ltar.nal.usda.gov/ltar/met/index,NA,NA,RG63,open,Meteorology,"WeatherDaily, WeatherStation",Pressure,Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,15 min,
1650,GACP0790,1547,GACP,Meteorology,PAR_Den_Avg,Photosynthetically active radiation,umol/s/m^2,15 min,15 minute,9/11/2015,9/11/2015,NA,Present,now,NA,NA,David Bosch,.csv,https://ltar.nal.usda.gov/ltar/met/index,NA,NA,RG63,open,Meteorology,"WeatherDaily, WeatherStation","Solar radiation, vegetated ground, no media, daily, total",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,15 min,
1651,GACP0791,1548,GACP,Meteorology,ave_incoming_Shortwave radiation,ave_incoming_Shortwave radiation,W/m^2,15 min,15 minute,9/11/2015,9/11/2015,NA,Present,now,NA,NA,David Bosch,.csv,https://ltar.nal.usda.gov/ltar/met/index,NA,NA,RG63,open,Meteorology,"WeatherDaily, WeatherStation",ave_incoming_shortwave radiation,Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,15 min,
1652,GACP0792,1549,GACP,Meteorology,ave_outgoing_Shortwave radiation,ave_outgoing_Shortwave radiation,W/m^2,15 min,15 minute,9/11/2015,9/11/2015,NA,Present,now,NA,NA,David Bosch,.csv,https://ltar.nal.usda.gov/ltar/met/index,NA,NA,RG63,open,Meteorology,"WeatherDaily, WeatherStation",ave_outgoing_shortwave radiation,Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,15 min,
1653,GACP0793,1550,GACP,Meteorology,ave_incoming_longwave radiation,ave_incoming_longwave radiation,W/m^2,15 min,15 minute,9/11/2015,9/11/2015,NA,Present,now,NA,NA,David Bosch,.csv,https://ltar.nal.usda.gov/ltar/met/index,NA,NA,RG63,open,Meteorology,"WeatherDaily, WeatherStation",ave_incoming_longwave radiation,Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,15 min,
1654,GACP0794,1551,GACP,Meteorology,ave_outgoing_longwave radiation,ave_outgoing_longwave radiation,W/m^2,15 min,15 minute,9/11/2015,9/11/2015,NA,Present,now,NA,NA,David Bosch,.csv,https://ltar.nal.usda.gov/ltar/met/index,NA,NA,RG63,open,Meteorology,"WeatherDaily, WeatherStation",ave_outgoing_longwave radiation,Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,15 min,
1655,GACP0795,1552,GACP,Precipitation,Precipitation,rainfall,inch,1_Min,1_minute,NA,NA,NA,Present,now,NA,NA,David Bosch,.csv,NA,NA,NA,Station Z,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,1_min,precipitation
1656,GACP0796,1553,GACP,Precipitation,Precipitation,rainfall,inch,30_min,30_minute,NA,NA,NA,Present,now,NA,NA,David Bosch,.csv,NA,NA,NA,RG36,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30_min,precipitation
1657,GACP0797,1554,GACP,Precipitation,Precipitation,rainfall,inch,30_min,30_minute,NA,NA,NA,Present,now,NA,NA,David Bosch,.csv,NA,NA,NA,RG38,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30_min,precipitation
1658,GACP0798,1555,GACP,Precipitation,precipitation,rainfall,in,5 min,5 minute,NA,NA,NA,NA,NA,NA,NA,David Bosch,.csv,NA,NA,NA,8929,closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,5 min,precipitation
1659,GACP0799,1556,GACP,Precipitation,pcp_15min_mm,rainfall,mm,15 min,15 minute,2/1/2018,2/1/2018,NA,Present,now,NA,NA,Dinku Endale,.csv,NA,NA,NA,Wilson_Met,closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,15 min,precipitation
1660,GACP0800,1557,GACP,Precipitation,pcp_30min_in,rainfall,inch,30 min,30 minute,2/1/2018,2/1/2018,NA,Present,now,NA,NA,Dinku Endale,.csv,NA,NA,NA,Wilson_Met,closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,precipitation
1661,GACP0801,1558,GACP,precipitation,pcp_30min_in,rainfall,inch,30 min,30 minute,2/1/2018,2/1/2018,NA,Present,now,NA,NA,Dinku Endale,.csv,NA,NA,NA,Wilson_Met,closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",NA,NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,precipitation
1662,GACP0802,1559,GACP,precipitation,pcp_30min_mm,rainfall,mm,30 min,30 minute,2/1/2018,2/1/2018,NA,Present,now,NA,NA,Dinku Endale,.csv,NA,NA,NA,Wilson_Met,closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",NA,NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,precipitation
1663,GACP0803,1560,GACP,Precipitation,Precipitation,rainfall,inch,5_min,5_minute,10/12/2007,10/12/2007,NA,10/18/2011,10/18/2011,NA,NA,David Bosch,.csv,NA,NA,NA,RG78,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,5_min,precipitation
1664,GACP0804,1561,GACP,Precipitation,Precipitation,rainfall,inch,Daily,1 day,10/12/2007,10/12/2007,NA,10/18/2011,10/18/2011,NA,NA,David Bosch,.csv,NA,NA,NA,RG78,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1665,GACP0805,1562,GACP,Precipitation,pcp_15min_mm,rainfall,mm,15 min,15 minute,9/11/2015,9/11/2015,NA,Present,now,NA,NA,David Bosch,.csv,https://ltar.nal.usda.gov/ltar/met/index,NA,NA,RG63,open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,15 min,precipitation
1666,GACP0806,1563,GACP,Precipitation,Precipitation,rainfall,inch,5_min,5_minute,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,.csv,NA,NA,NA,RG01,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,5_min,precipitation
1667,GACP0807,1564,GACP,Precipitation,Precipitation,rainfall,inch,5_min,5_minute,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,.csv,NA,NA,NA,RG02,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,5_min,precipitation
1668,GACP0808,1565,GACP,Precipitation,Precipitation,rainfall,inch,5_min,5_minute,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,.csv,NA,NA,NA,RG03,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,5_min,precipitation
1669,GACP0809,1566,GACP,Precipitation,Precipitation,rainfall,inch,5_min,5_minute,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,.csv,NA,NA,NA,RG04,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,5_min,precipitation
1670,GACP0810,1567,GACP,Precipitation,Precipitation,rainfall,inch,5_min,5_minute,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,.csv,NA,NA,NA,RG05,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,5_min,precipitation
1671,GACP0811,1568,GACP,Precipitation,Precipitation,rainfall,inch,5_min,5_minute,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,.csv,NA,NA,NA,RG06,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,5_min,precipitation
1672,GACP0812,1569,GACP,Precipitation,Precipitation,rainfall,inch,5_min,5_minute,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,.csv,NA,NA,NA,RG07,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,5_min,precipitation
1673,GACP0813,1570,GACP,Precipitation,Precipitation,rainfall,inch,Daily,1 day,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,.csv,NA,NA,NA,RG01,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1674,GACP0814,1571,GACP,Precipitation,Precipitation,rainfall,inch,Daily,1 day,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,.csv,NA,NA,NA,RG02,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1675,GACP0815,1572,GACP,Precipitation,Precipitation,rainfall,inch,Daily,1 day,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,.csv,NA,NA,NA,RG03,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1676,GACP0816,1573,GACP,Precipitation,Precipitation,rainfall,inch,Daily,1 day,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,.csv,NA,NA,NA,RG04,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1677,GACP0817,1574,GACP,Precipitation,Precipitation,rainfall,inch,Daily,1 day,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,.csv,NA,NA,NA,RG05,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1678,GACP0818,1575,GACP,Precipitation,Precipitation,rainfall,inch,Daily,1 day,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,.csv,NA,NA,NA,RG06,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1679,GACP0819,1576,GACP,Precipitation,Precipitation,rainfall,inch,Daily,1 day,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,.csv,NA,NA,NA,RG07,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1680,GACP0820,1577,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG01,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1681,GACP0821,1578,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG02,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1682,GACP0822,1579,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG03,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1683,GACP0823,1580,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG04,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1684,GACP0824,1581,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG05,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1685,GACP0825,1582,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG06,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1686,GACP0826,1583,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,8/31/1978,8/31/1978,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG07,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1687,GACP0827,1584,GACP,Precipitation,Precipitation,rainfall,inch,30_min,30 minute,1/14/2008,1/14/2008,NA,Present,now,NA,NA,David Bosch,.csv,NA,NA,NA,RG30,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30_min,precipitation
1688,GACP0828,1585,GACP,Precipitation,Precipitation,rainfall,inch,30_min,30 minute,11/28/2007,11/28/2007,NA,Present,now,NA,NA,David Bosch,.csv,NA,NA,NA,RG27,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30_min,precipitation
1689,GACP0829,1586,GACP,Precipitation,Precipitation,rainfall,inch,30_min,30 minute,11/15/2007,11/15/2007,NA,Present,now,NA,NA,David Bosch,.csv,NA,NA,NA,RG46,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30_min,precipitation
1690,GACP0830,1587,GACP,Precipitation,Precipitation,rainfall,inch,30_min,30 minute,11/15/2007,11/15/2007,NA,Present,now,NA,NA,David Bosch,.csv,NA,NA,NA,RG51,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30_min,precipitation
1691,GACP0831,1588,GACP,Precipitation,Precipitation,rainfall,inch,30_min,30 minute,10/19/2006,10/19/2006,NA,Present,now,NA,NA,David Bosch,.csv,NA,NA,NA,RG64,Closed,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30_min,precipitation
1692,GACP0832,1589,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,12/1/1981,12/1/1981,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG15,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1693,GACP0833,1590,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,12/1/1981,12/1/1981,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG17,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1694,GACP0834,1591,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,12/1/1981,12/1/1981,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG18,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1695,GACP0835,1592,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,12/1/1981,12/1/1981,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG19,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1696,GACP0836,1593,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,12/1/1981,12/1/1981,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG20,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1697,GACP0837,1594,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,12/1/1981,12/1/1981,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG21,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1698,GACP0838,1595,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,12/1/1981,12/1/1981,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG23,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1699,GACP0839,1596,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,12/1/1981,12/1/1981,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG24,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1700,GACP0840,1597,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,12/1/1981,12/1/1981,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG25,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1701,GACP0841,1598,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,12/1/1981,12/1/1981,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG29,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1702,GACP0842,1599,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,12/1/1981,12/1/1981,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG33,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1703,GACP0843,1600,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,12/1/1981,12/1/1981,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG41,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1704,GACP0844,1601,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,12/1/1981,12/1/1981,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG53,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1705,GACP0845,1602,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,12/1/1981,12/1/1981,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG54,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
1706,GACP0846,1603,GACP,Precipitation,Precipitation,rainfall,mm,daily,1 day,1/1/1968,1/1/1968,NA,12/1/1981,12/1/1981,NA,NA,David Bosch,NA,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,NA,NA,RG55,Open,Meteorology,"WeatherDaily, WeatherStation","Precipitation, total, no media, daily",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,daily,precipitation
