"RowID","TYPE","TABLE","AgCROS.VarName","ParameterDescription","Units"
"285","Measurement","MeasPlantMonitoring","Exp Unit ID","Experimental Unit ID","none"
"286","Measurement","MeasCropForageQuality","Exp Unit ID","Experimental Unit ID","none"
"287","Measurement","MeasCropNutrientCycling","Exp Unit ID","Experimental Unit ID","none"
"288","Measurement","MeasWindErosionConc","Exp Unit ID","Experimental Unit ID","none"
"289","Measurement","MeasWindErosionArea","Exp Unit ID","Experimental Unit ID","none"
"290","Measurement","MeasSuppRes","Exp Unit ID","Experimental Unit ID","none"
"291","Background","ExperUnits","Exp Unit Size m2","Plot area, square meters","m2"
"292","Measurement","MeasSoilBiol","FAME","Fatty Acid Methyl Esters, soil, were they measured","none"
"293","Measurement","MeasBiomassMinAn","Fe Concentration mg/kg","Fe Concentration, plant tissue, milligrams per kilogram","mg/kg"
"294","Measurement","MeasBiomassMinAn","Fe Concentration STD mg/kg","Fe Concentration, plant tissue, StdDev, milligrams per kilogram","mg/kg"
"295","Measurement","MeasSoilChem","Fe mgFe/kg","Iron, soil, milligrams Fe per kilogram soil","mg Fe/kg"
"296","Measurement","MeasSoilChem","Fe STD mgFe/kg","Iron, soil, StdDev, milligrams Fe per kilogram soil","mg Fe/kg"
"297","Background","Treatments","Fertilizer Amendment Class","Fertilizer","none"
"298","Measurement","MeasSoilPhys","Field Capacity % volume","Field capacity, soil, percent volume","% vol (cu cm H2O/cu cm soil*100)"
"299","Measurement","MeasSoilPhys","Field Capacity STD % volume","Field capacity, soil, StdDev, percent volume","% vol (cu cm H2O/cu cm soil*100)"
"300","Background","FieldSites","Field ID","Field identifier","none"
"301","Background","ExperUnits","Field ID","Field identifier","none"
"302","Characterization","WeatherStation","Field ID","Field identifier","none"
"303","Characterization","WeatherDaily","Field ID","Field identifier","none"
"304","Comments","AllCellComments","Field Name","Field name","none"
"305","Background","Persons","First Name","First name","none"
"306","Measurement","MeasSoilBiol","Fluorescein Diacetate Hydrol mg/kg/hr","Fluorescein_Diacetate_Hydrolysis, soil, milligram fluorescein per kilogram soil per hour","mg kg-1 h-1"
"307","Measurement","MeasSoilBiol","Fluorescein Diacetate Hydrol STD mg/kg/hr","Fluorescein_Diacetate_Hydrolysis, soil, StdDev, milligram fluorescein per kilogram soil per hour","mg kg-1 h-1"
"308","Measurement","MeasYieldNutrientUptake","Frac B gB/ha","Plant fraction boron content, grams per hectare","g B/ha"
"309","Measurement","MeasYieldNutrientUptake","Frac B STD gB/ha","Plant fraction boron content, StdDev, grams per hectare","kg B/ha"
"310","Measurement","MeasHarvestFraction","Frac C kgC/ha","Carbon in plant fraction, plant tissue, kilograms carbon per hectare","kg C/ha"
"311","Measurement","MeasYieldNutrientUptake","Frac C kgC/ha YNU","Plant fraction carbon content, kilograms per hectare","kg C/ha"
"312","Measurement","MeasHarvestFraction","Frac C STD kgC/ha","Carbon in plant fraction, plant tissue, StdDev, kilograms carbon per hectare","kg C/ha"
"313","Measurement","MeasYieldNutrientUptake","Frac C STD kgC/ha YNU","Plant fraction carbon content, StdDev, kilograms per hectare","kg C/ha"
"314","Measurement","MeasYieldNutrientUptake","Frac Ca kgCa/ha","Plant fraction calcium content, kilograms per hectare","kg Ca/ha"
"315","Measurement","MeasYieldNutrientUptake","Frac Ca STD kgCa/ha","Plant fraction calcium content, StdDev, kilograms per hectare","kg Ca/ha"
"316","Measurement","MeasYieldNutrientUptake","Frac Cu gCu/ha","Plant fraction copper content, grams per hectare","g Cu/ha"
"317","Measurement","MeasYieldNutrientUptake","Frac Cu STD gCu/ha","Plant fraction copper content, StdDev, grams per hectare","kg Cu/ha"
"318","Measurement","MeasHarvestFraction","Frac Dry Matt kg/ha","Dry Matter of plant fraction, plant tissue, kilograms per hectare","kg/ha"
"319","Measurement","MeasYieldNutrientUptake","Frac Dry Matt kg/ha YNU","Dry biomass plant fraction, kilograms per hectare","kg/ha"
"320","Measurement","MeasHarvestFraction","Frac Dry Matt STD kg/ha","Dry Matter of plant fraction, plant tissue, StdDev, kilograms per hectare","kg/ha"
"321","Measurement","MeasYieldNutrientUptake","Frac Dry Matt STD kg/ha YNU","Dry biomass plant fraction, StdDev, kilograms per hectare","kg/ha"
"322","Measurement","MeasYieldNutrientUptake","Frac Fe gFe/ha","Plant fraction iron content, grams per hectare","g Fe/ha"
"323","Measurement","MeasYieldNutrientUptake","Frac Fe STD gFe/ha","Plant fraction iron content, StdDev, grams per hectare","kg Fe/ha"
"324","Measurement","MeasYieldNutrientUptake","Frac K kgK/ha","Plant fraction potassium content, kilograms per hectare","kg P/ha"
"325","Measurement","MeasYieldNutrientUptake","Frac K STD kgK/ha","Plant fraction potassium content, StdDev, kilograms per hectare","kg P/ha"
"326","Measurement","MeasYieldNutrientUptake","Frac Mg kgMg/ha","Plant fraction magnesium content, kilograms per hectare","kg Mg/ha"
"327","Measurement","MeasYieldNutrientUptake","Frac Mg STD kgMg/ha","Plant fraction magnesium content, StdDev, kilograms per hectare","kg Mg/ha"
"328","Measurement","MeasYieldNutrientUptake","Frac Mn gMn/ha","Plant fraction manganese content, grams per hectare","g Mn/ha"
"329","Measurement","MeasYieldNutrientUptake","Frac Mn STD gMn/ha","Plant fraction manganese content, StdDev, grams per hectare","kg Mn/ha"
"330","Measurement","MeasYieldNutrientUptake","Frac Mo gMo/ha","Plant fraction molybdenum content, grams per hectare","g Mo/ha"
"331","Measurement","MeasYieldNutrientUptake","Frac Mo STD gMo/ha","Plant fraction molybdenum content, StdDev, grams per hectare","kg Mo/ha"
"332","Measurement","MeasHarvestFraction","Frac Moist %","Moisture in plant fraction, plant tissue, percent","%"
"333","Measurement","MeasYieldNutrientUptake","Frac Moist % YNU","Plant fraction moisture content, percent","%"
"334","Measurement","MeasHarvestFraction","Frac Moist STD %","Moisture in plant fraction, plant tissue, StdDev, percent","%"
"335","Measurement","MeasYieldNutrientUptake","Frac Moist STD % YNU","Plant fraction moisture content, StdDev, percent","%"
"336","Measurement","MeasHarvestFraction","Frac N kgN/ha","Nitrogen in plant fraction, plant tissue, kilograms nitrogen per hectare","kg N/ha"
"337","Measurement","MeasYieldNutrientUptake","Frac N kgN/ha YNU","Plant fraction nitrogen content, kilograms per hectare","kg N/ha"
"338","Measurement","MeasHarvestFraction","Frac N STD kgN/ha","Nitrogen in plant fraction, plant tissue, StdDev, kilograms nitrogen per hectare","kg N/ha"
"339","Measurement","MeasYieldNutrientUptake","Frac N STD kgN/ha YNU","Plant fraction nitrogen content, StdDev, kilograms per hectare","kg N/ha"
"340","Measurement","MeasYieldNutrientUptake","Frac P kgP/ha","Plant fraction phosphorus content, kilograms per hectare","kg N/ha"
"341","Measurement","MeasYieldNutrientUptake","Frac P STD kgP/ha","Plant fraction phosphorus content, StdDev, kilograms per hectare","kg N/ha"
"342","Measurement","MeasYieldNutrientUptake","Frac S kgS/ha","Plant fraction sulfur content, kilograms per hectare","kg K/ha"
"343","Measurement","MeasYieldNutrientUptake","Frac S STD kgS/ha","Plant fraction sulfur content, StdDev, kilograms per hectare","kg K/ha"
"344","Measurement","MeasYieldNutrientUptake","Frac Zn gZn/ha","Plant fraction zinc content, grams per hectare","g Zn/ha"
"345","Measurement","MeasYieldNutrientUptake","Frac Zn STD gZn/ha","Plant fraction zinc content, StdDev, grams per hectare","kg Zn/ha"
"346","Measurement","MeasNutrEff","Fraction N kgN/ha","Above ground nitrogen, kilograms nitrogen per hectare","kg N/ha"
"347","Background","Overview","Funding Source","Funding Source","none"
"348","Measurement","MeasWindErosionArea","g B/ha","g B/ha","g B/ha"
"349","Measurement","MeasWindErosionArea","g B/ha STD","g B/ha","g B/ha"
"350","Measurement","MeasWindErosionArea","g Cu/ha","g Cu/ha","g Cu/ha"
"351","Measurement","MeasWindErosionArea","g Cu/ha STD","g Cu/ha","g Cu/ha"
"352","Measurement","MeasWindErosionArea","g Fe/ha","g Fe/ha","g Fe/ha"
"353","Measurement","MeasWindErosionArea","g Fe/ha STD","g Fe/ha","g Fe/ha"
"354","Measurement","MeasWindErosionArea","g Mn/ha","g Mn/ha","g Mn/ha"
"355","Measurement","MeasWindErosionArea","g Mn/ha STD","g Mn/ha","g Mn/ha"
"356","Measurement","MeasWindErosionArea","g Mo/ha","g Mo/ha","g Mo ha"
"357","Measurement","MeasWindErosionArea","g Mo/ha STD","g Mo/ha","g Mo ha"
"358","Measurement","MeasWindErosionArea","g Zn/ha","g Zn/ha","g Zn/ha"
"359","Measurement","MeasWindErosionArea","g Zn/ha STD","g Zn/ha","g Zn/ha"
"360","Measurement","MeasBiomassCHO","Galactan g/kg","Galactan, plant tissue, grams per kilogram","g/kg"
"361","Measurement","MeasBiomassCHO","Galactan STD g/kg","Galactan, plant tissue, StdDev, grams per kilogram","g/kg"
"362","Measurement","MeasSoilBiol","Glomalin g/kg","Glomalin, soil, gram per kilogram","g/kg"
"363","Measurement","MeasSoilBiol","Glomalin STD g/kg","Glomalin, soil, StdDev, gram per kilogram","g/kg"
"364","Measurement","MeasBiomassCHO","Glucan g/kg","Glucan, plant tissue, grams per kilogram","g/kg"
"365","Measurement","MeasBiomassCHO","Glucan STD g/kg","Glucan, plant tissue, StdDev, grams per kilogram","g/kg"
"366","Measurement","MeasSoilBiol","Glucosaminidase mg/kg/hr","Beta_Glucosaminidase_NAG, soil, milligram ?-nitrophenol released per kilogram soil per hour","mg ?-nitrophenol released kg-1 soil h-1"
"367","Measurement","MeasSoilBiol","Glucosaminidase STD mg/kg/hr","Beta_Glucosaminidase_NAG, soil, StdDev, milligram ?-nitrophenol released per kilogram soil per hour","mg ?-nitrophenol released kg-1 soil h-1"
"368","Measurement","MeasSoilBiol","Glucosidase mg/kg/hr","Beta_Glucosidase, soil, milligram ?-nitrophenol released per kilogram soil per hour","mg ?-nitrophenol released kg-1 soil h-1"
"369","Measurement","MeasSoilBiol","Glucosidase STD mg/kg/hr","Beta_Glucosidase, soil, StdDev, milligram ?-nitrophenol released per kilogram soil per hour","mg ?-nitrophenol released kg-1 soil h-1"
"370","Measurement","MeasCropNutrientCycling","Grain B gB/ha",NA,"gB/ha"
"371","Measurement","MeasCropNutrientCycling","Grain B STD",NA,"gB/ha"
"372","Measurement","MeasResidueMgnt","Grain C kgC/ha","Carbon, grain, plant tissue, mean or single measurement, kilograms of carbon per hectare","kg C/ha"
"373","Measurement","MeasCropNutrientCycling","Grain C kgC/ha",NA,"kgC/ha"
"374","Measurement","MeasCropNutrientCycling","Grain C STD",NA,"kgC/ha"
"375","Measurement","MeasResidueMgnt","Grain C STD kgC/ha","Carbon, grain, plant tissue, StdDev, kilograms of carbon per hectare","kg C/ha"
"376","Measurement","MeasCropNutrientCycling","Grain Ca kgCa/ha",NA,"kgCa/ha"
"377","Measurement","MeasCropNutrientCycling","Grain Ca STD",NA,"kgCa/ha"
"378","Measurement","MeasCropNutrientCycling","Grain Cu gCu/ha",NA,"gCu/ha"
"379","Measurement","MeasCropNutrientCycling","Grain Cu STD",NA,"gCu/ha"
"380","Measurement","MeasResidueMgnt","Grain Dry Matt kg/ha","Grain harvest, plant tissue, mean or single measurement, kilograms per hectare","kg biomass/ha"
"381","Measurement","MeasCropNutrientCycling","Grain Dry Matt kg/ha",NA,"kg/ha"
"382","Measurement","MeasResidueMgnt","Grain Dry Matt STD kg/ha","Grain harvest, plant tissue, StdDev, kilograms per hectare","kg biomass/ha"
"383","Measurement","MeasCropNutrientCycling","Grain DryMatter STD",NA,"kg/ha"
"384","Measurement","MeasCropNutrientCycling","Grain Fe gFe/ha",NA,"gFe/ha"
"385","Measurement","MeasCropNutrientCycling","Grain Fe STD",NA,"gFe/ha"
"386","Measurement","MeasCropNutrientCycling","Grain K kgK/ha",NA,"kgK/ha"
"387","Measurement","MeasCropNutrientCycling","Grain K STD",NA,"kgK/ha"
"388","Measurement","MeasCropNutrientCycling","Grain Mg kgMg/ha",NA,"kgMg/ha"
"389","Measurement","MeasCropNutrientCycling","Grain Mg STD",NA,"kgMg/ha"
"390","Measurement","MeasCropNutrientCycling","Grain Mn gMn/ha",NA,"gMn/ha"
"391","Measurement","MeasCropNutrientCycling","Grain Mn STD",NA,"gMn/ha"
"392","Measurement","MeasCropNutrientCycling","Grain Mo gMo/ha",NA,"gMo/ha"
"393","Measurement","MeasCropNutrientCycling","Grain Mo STD",NA,"gMo/ha"
"394","Measurement","MeasResidueMgnt","Grain Moist %","Grain moisture content, plant tissue, mean or single measurement, percent","%"
"395","Measurement","MeasCropNutrientCycling","Grain Moist %",NA,"%"
"396","Measurement","MeasResidueMgnt","Grain Moist STD %","Grain moisture content, plant tissue, StdDev, percent","%"
"397","Measurement","MeasCropNutrientCycling","Grain MoisturePct STD",NA,"%"
"398","Measurement","MeasResidueMgnt","Grain N kgN/ha","Nitrogen, grain, plant tissue, mean or single measurement, kilograms of nitrogen per hectare","kg N/ha"
"399","Measurement","MeasCropNutrientCycling","Grain N kgN/ha",NA,"kgN/ha"
"400","Measurement","MeasCropNutrientCycling","Grain N STD",NA,"kgN/ha"
"401","Measurement","MeasResidueMgnt","Grain N STD kgN/ha","Nitrogen, grain, plant tissue, StdDev, kilograms of nitrogen per hectare","kg N/ha"
"402","Measurement","MeasCropNutrientCycling","Grain P kgP/ha",NA,"kgP/ha"
"403","Measurement","MeasCropNutrientCycling","Grain P STD",NA,"kgP/ha"
"404","Measurement","MeasCropNutrientCycling","Grain S kgS/ha",NA,"kgS/ha"
"405","Measurement","MeasCropNutrientCycling","Grain S STD",NA,"kgS/ha"
"406","Measurement","MeasHarvestFraction","Grain Weight mg/kernel","Kernel weight, plant tissue, milligrams per kernel","mg/kernel"
"407","Measurement","MeasYieldNutrientUptake","Grain Weight mg/kernel YNU","Grain kernal weight, milligrams per kernal","mg/kernal"
"408","Measurement","MeasHarvestFraction","Grain Weight STD mg/kernel","Kernel weight, plant tissue, StdDev, milligrams per kernel","mg/kernel"
"409","Measurement","MeasYieldNutrientUptake","Grain Weight STD mg/kernel YNU","Grain kernal weight, StdDev, milligrams per kernal","mg/kernal"
"410","Measurement","MeasCropNutrientCycling","Grain Zn gZn/ha",NA,"gZn/ha"
"411","Measurement","MeasCropNutrientCycling","Grain Zn STD",NA,"gZn/ha"
"412","Background","Treatments","Grazing Rate","Grazing rate","none"
"413","Measurement","MeasBiomassEnergy","Gross Calorific Value MJ/kg","Gross Calorific Value, plant tissue, megajoules per kilogram dry matter","MJ/kg"
"414","Measurement","MeasBiomassEnergy","Gross Calorific Value STD MJ/kg","Gross Calorific Value, plant tissue, StdDev, megajoules per kilogram dry matter","MJ/kg"
"415","Measurement","MeasGrazingPlants","Ground Cover %","Ground cover, vegetated, none, mean or single measurement, fraction of land area, percent","% (surface area of vegetation/surface area of land)"
"416","Measurement","MeasGrazingPlants","Ground Cover STD %","Ground cover, vegetated, none, StdDev, fraction of land area, percent","% (surface area of vegetation/surface area of land)"
"417","Management","MgtGrowthStages","Growth Stage","Growth stage","none"
"418","Measurement","MeasNutrEff","Growth Stage","Growth stage","none"
"419","Measurement","MeasResidueMgnt","Growth Stage","Growth stage","none"
"420","Measurement","MeasHarvestFraction","Growth Stage","Growth stage","none"
"421","Measurement","MeasBiomassCHO","Growth Stage","Growth stage","none"
"422","Measurement","MeasBiomassEnergy","Growth Stage","Growth stage","none"
"423","Measurement","MeasBiomassMinAn","Growth Stage","Growth stage","none"
"424","Measurement","MeasGrazingPlants","Growth Stage","Growth stage, harvest","none"
"425","Measurement","MeasYieldNutrientUptake","Growth Stage","Growth stage","none"
"426","Measurement","MeasGasNutrientLoss","Growth Stage","Growth stage","none"
"427","Measurement","MeasWaterQualityConc","Growth Stage","Growth stage","none"
"428","Measurement","MeasWaterQualityArea","Growth Stage","Growth stage","none"
"429","Measurement","MeasPlantMonitoring","Growth Stage","Growth stage","none"
"430","Measurement","MeasCropForageQuality","Growth Stage","Growth stage","none"
"431","Measurement","MeasCropNutrientCycling","Growth Stage","Growth stage","none"
"432","Measurement","MeasWindErosionConc","Growth Stage","Growth stage","none"
"433","Measurement","MeasWindErosionArea","Growth Stage","Growth stage","none"
"434","Measurement","MeasSoilPhys","H2O Stable Aggregates %","Water Stable Aggregates, soil, percent","%"
"435","Measurement","MeasSoilPhys","H2O Stable Aggregates STD %","Water Stable Aggregates, soil, StdDev, percent","%"
"436","Measurement","MeasResidueMgnt","Harv NonGrain Bio kg/ha","Crop residue, harvested aboveground, plant tissue, mean or single measurement, kilograms per hectare","kg biomass/ha"
"437","Measurement","MeasCropNutrientCycling","Harv NonGrain Bio kg/ha",NA,"kg/ha"
"438","Measurement","MeasResidueMgnt","Harv NonGrain Bio STD kg/ha","Crop residue, harvested aboveground, plant tissue, StdDev, kilograms per hectare","kg biomass/ha"
"439","Measurement","MeasCropNutrientCycling","Harv Res B gB/ha",NA,"gB/ha"
"440","Measurement","MeasCropNutrientCycling","Harv Res B STD",NA,"gB/ha"
"441","Measurement","MeasResidueMgnt","Harv Res C kgC/ha","Carbon, harvested crop residue, plant tissue, mean or single measurement, kilograms of carbon per hectare","kg C/ha"
"442","Measurement","MeasCropNutrientCycling","Harv Res C kgC/ha",NA,"kgC/ha"
"443","Measurement","MeasCropNutrientCycling","Harv Res C STD",NA,"kgC/ha"
"444","Measurement","MeasResidueMgnt","Harv Res C STD kgC/ha","Carbon, harvested crop residue, plant tissue, StdDev, kilograms of carbon per hectare","kg C/ha"
"445","Measurement","MeasCropNutrientCycling","Harv Res Ca kgCa/ha",NA,"kgCa/ha"
"446","Measurement","MeasCropNutrientCycling","Harv Res Ca STD",NA,"kgCa/ha"
"447","Measurement","MeasCropNutrientCycling","Harv Res Cu gCu/ha",NA,"gCu/ha"
"448","Measurement","MeasCropNutrientCycling","Harv Res Cu STD",NA,"gCu/ha"
"449","Measurement","MeasCropNutrientCycling","Harv Res DryMatter STD",NA,"kg/ha"
"450","Measurement","MeasCropNutrientCycling","Harv Res Fe gFe/ha",NA,"gFe/ha"
"451","Measurement","MeasCropNutrientCycling","Harv Res Fe STD",NA,"gFe/ha"
"452","Measurement","MeasCropNutrientCycling","Harv Res K kgK/ha",NA,"kgK/ha"
"453","Measurement","MeasCropNutrientCycling","Harv Res K STD",NA,"kgK/ha"
"454","Measurement","MeasCropNutrientCycling","Harv Res Mg kgMg/ha",NA,"kgMg/ha"
"455","Measurement","MeasCropNutrientCycling","Harv Res Mg STD",NA,"kgMg/ha"
"456","Measurement","MeasCropNutrientCycling","Harv Res Mn gMn/ha",NA,"gMn/ha"
"457","Measurement","MeasCropNutrientCycling","Harv Res Mn STD",NA,"gMn/ha"
"458","Measurement","MeasCropNutrientCycling","Harv Res Mo gMo/ha",NA,"gMo/ha"
"459","Measurement","MeasCropNutrientCycling","Harv Res Mo STD",NA,"gMo/ha"
"460","Measurement","MeasResidueMgnt","Harv Res Moist %","Crop residue moisture content, plant tissue, mean or single measurement, percent","%"
"461","Measurement","MeasCropNutrientCycling","Harv Res Moist %",NA,"%"
"462","Measurement","MeasResidueMgnt","Harv Res Moist STD %","Crop residue moisture content, plant tissue, StdDev, percent","%"
"463","Measurement","MeasResidueMgnt","Harv Res N kgN/ha","Nitrogen, harvested crop residue, plant tissue, mean or single measurement, kilograms of carbon per hectare","kg N/ha"
"464","Measurement","MeasCropNutrientCycling","Harv Res N kgN/ha",NA,"kgN/ha"
"465","Measurement","MeasCropNutrientCycling","Harv Res N STD",NA,"kgN/ha"
"466","Measurement","MeasResidueMgnt","Harv Res N STD kgN/ha","Nitrogen, harvested crop residue, plant tissue, StdDev, kilograms of nitrogen per hectare","kg N/ha"
"467","Measurement","MeasCropNutrientCycling","Harv Res P kgP/ha",NA,"kgP/ha"
"468","Measurement","MeasCropNutrientCycling","Harv Res P STD",NA,"kgP/ha"
"469","Measurement","MeasCropNutrientCycling","Harv Res S kgS/ha",NA,"kgS/ha"
"470","Measurement","MeasCropNutrientCycling","Harv Res S STD",NA,"kgS/ha"
"471","Measurement","MeasCropNutrientCycling","Harv Res Zn gZn/ha",NA,"gZn/ha"
"472","Measurement","MeasCropNutrientCycling","Harv Res Zn STD",NA,"gZn/ha"
"473","Measurement","MeasResidueMgnt","Harvested Frac","Harvest Fraction","none"
"474","Measurement","MeasCropNutrientCycling","Harvested Fraction",NA,NA
"475","Measurement","MeasCropNutrientCycling","HarvRes MoisturePct STD",NA,"%"
"476","Measurement","MeasSoilBiol","Iden Plant Material gC/kg","Identifiable Plant Material, soil, grams carbon per kilogram soil","g C/kg"
"477","Measurement","MeasSoilBiol","Iden Plant Material STD gC/kg","Identifiable Plant Material, soil, StdDev, grams carbon per kilogram soil","g C/kg"
"478","Background","Citations","Identifier USDA-ARS","Permanent identifier like DOI, Handle, PURL, etc","none"
"479","Measurement","MeasSoilChem","Inorganic C gC/kg","Inorganic soil carbon, soil, mean or single measurement, grams C per kilogram soil","gC/kg"
"480","Measurement","MeasSoilChem","Inorganic C STD gC/kg","Inorganic soil carbon, soil, StdDev, grams C per kilogram soil","g/kg"
"481","Background","Treatments","Irrigation","Irrigated","none"
"482","Management","MgtAmendments","Irrigation Amount cm","Water, irrigation applied, no media, centimeters","cm"
"483","Management","MgtAmendments","Irrigation N mg/l","Nitrogen, irrigation additive, no media, milligrams per liter","mg/L"
"484","Management","MgtAmendments","Irrigation Type","Irrigation type","none"
"485","Background","Citations","Is Part Of","Book title if reference is a book chapter","none"
"486","Measurement","MeasBiomassMinAn","K Concentration g/kg","K Concentration, plant tissue, grams per kilogram","g/kg"
"487","Measurement","MeasBiomassMinAn","K Concentration STD g/kg","K Concentration, plant tissue, StdDev, grams per kilogram","g/kg"
"488","Measurement","MeasSoilChem","K mgK/kg","Potassium, soil, milligrams K per kilogram soil","mg K/kg"
"489","Measurement","MeasSoilChem","K STD mgK/kg","Potassium, soil, StdDev, milligrams K per kilogram soil","mg K/kg"
"490","Measurement","MeasWindErosionArea","kg Al/ha","kg Al/ha","kg Al/ha"
"491","Measurement","MeasWindErosionArea","kg Al/ha STD","kg Al/ha","kg Al/ha"
"492","Measurement","MeasWindErosionArea","kg Ca/ha","kg Ca/ha","kg Ca/ha"
"493","Measurement","MeasWindErosionArea","kg Ca/ha STD","kg Ca/ha","kg Ca/ha"
"494","Measurement","MeasWindErosionArea","kg K/ha","kg K/ha","kg K/ha"
"495","Measurement","MeasWindErosionArea","kg K/ha STD","kg K/ha","kg K/ha"
"496","Measurement","MeasWindErosionArea","kg Mg/ha","kg Mg/ha","kg Mg/ha"
"497","Measurement","MeasWindErosionArea","kg Mg/ha STD","kg Mg/ha","kg Mg/ha"
"498","Measurement","MeasWindErosionArea","kg Na/ha","kg Na/ha","kg Na/ha"
"499","Measurement","MeasWindErosionArea","kg Na/ha STD","kg Na/ha","kg Na/ha"
"500","Measurement","MeasWaterQualityArea","kg NH4-N/ha","kg NH4-N/ha","kg NH4-N/ha"
"501","Measurement","MeasWindErosionArea","kg NH4-N/ha","kg NH4-N/ha","kg NH4-N/ha"
"502","Measurement","MeasWaterQualityArea","kg NH4-N/ha STD","kg NH4-N/ha STD","kg NH4-N/ha"
"503","Measurement","MeasWindErosionArea","kg NH4-N/ha STD","kg NH4-N/ha","kg NH4-N/ha"
"504","Measurement","MeasWaterQualityArea","kg NO3-N/ha","kg NO3-N/ha","kg NO3-N/ha"
"505","Measurement","MeasWindErosionArea","kg NO3-N/ha","kg NO3-N/ha","kg NO3-N/ha"
"506","Measurement","MeasWaterQualityArea","kg NO3-N/ha STD","kg NO3-N/ha STD","kg NO3-N/ha"
"507","Measurement","MeasWindErosionArea","kg NO3-N/ha STD","kg NO3-N/ha","kg NO3-N/ha"
"508","Measurement","MeasWindErosionArea","kg P/ha","kg P/ha","kg P/ha"
"509","Measurement","MeasWindErosionArea","kg P/ha STD","kg P/ha","kg P/ha"
"510","Measurement","MeasWindErosionArea","kg S/ha","kg S/ha","kg S/ha"
"511","Measurement","MeasWindErosionArea","kg S/ha STD","kg S/ha","kg S/ha"
"512","Measurement","MeasWindErosionArea","kg Si/ha","kg Si/ha","kg Si/ha"
"513","Measurement","MeasWindErosionArea","kg Si/ha STD","kg Si/ha","kg Si/ha"
"514","Measurement","MeasWaterQualityArea","kg total Cl/ha","kg total Cl/ha","kg Cl/ha"
"515","Measurement","MeasWaterQualityArea","kg total Cl/ha STD","kg total Cl/ha STD","kg Cl/ha"
"516","Measurement","MeasWaterQualityArea","kg Total Dissolved P/ha","kg Total Dissolved P/ha","kg DP/ha"
"517","Measurement","MeasWaterQualityArea","kg Total Dissolved P/ha STD","kg Total Dissolved P/ha STD","kg DP/ha"
"518","Measurement","MeasWaterQualityArea","kg total N/ha","kg total N/ha","kg N/ha"
"519","Measurement","MeasWindErosionArea","kg total N/ha","kg total N/ha","kg N/ha"
"520","Measurement","MeasWaterQualityArea","kg total N/ha STD","kg total N/ha STD","kg N/ha"
"521","Measurement","MeasWindErosionArea","kg total N/ha STD","kg total N/ha","kg N/ha"
"522","Measurement","MeasWaterQualityArea","kg Total P/ha","kg Total P/ha","kg P/ha"
"523","Measurement","MeasWaterQualityArea","kg Total P/ha STD","kg Total P/ha STD","kg P/ha"
"524","Measurement","MeasSoilPhys","Ksat cm/sec","Saturated hydraulic conductivity, soil, centimeters per second","cm/sec"
"525","Measurement","MeasSoilPhys","Ksat STD cm/sec","Saturated hydraulic conductivity, soil, StdDev, centimeters per second","cm/sec"
"526","Measurement","MeasGrazingPlants","LAI kg/ha (dry)","Leaf area index, live, none, mean or single measurement, fraction of land area, kilograms per hectare","surface area of leaves/surface area of land"
"527","Measurement","MeasGrazingPlants","LAI STD kg/ha","Leaf area index, live, none, StdDev, fraction of land area, kilograms per hectare","surface area of leaves/surface area of land"
"528","Background","ExperUnits","Landscape Position","Landscape position","none"
"529","Background","Persons","Last Name","Last name","none"
"530","Background","ExperUnits","Latitude","Latitude, decimal degrees","decimal degrees"
"531","Background","FieldSites","Latitude decimal deg","Latitude, decimal degrees","decimal degrees"
"532","Measurement","MeasSoilChem","Lead-210 Bq/kg","?Bq/kg","?Bq/kg"
"533","Measurement","MeasSoilChem","Lead-210 STD Bq/kg","?Bq/kg","?Bq/kg"
"534","Measurement","MeasGrazingPlants","Lignin %","Lignin, biomass, plant tissue, mean or single measurement, percent","% (lignin mass/biomass mass*100)"
"535","Measurement","MeasBiomassCHO","Lignin g/kg","Lignin, plant tissue, grams per kilogram","g/kg"
"536","Measurement","MeasGrazingPlants","Lignin STD %","Lignin, biomass, plant tissue, StdDev, percent","% (lignin mass/biomass mass*100)"
"537","Measurement","MeasBiomassCHO","Lignin STD g/kg","Lignin, plant tissue, StdDev, grams per kilogram","g/kg"
"538","Background","ExperUnits","Longitude","Longitude, decimal degrees","decimal degrees"
"539","Background","FieldSites","Longitude decimal deg","Longitude, decimal degrees","decimal degrees"
"540","Measurement","MeasWaterQualityConc","Losses or deposition","If the data is for a surface erosion event, then is the data assessing erosion losses or deposition?","none"
"541","Measurement","MeasWaterQualityArea","Losses or deposition","If the data is for a surface erosion event, then is the data assessing erosion losses or deposition?","none"
"542","Measurement","MeasWindErosionConc","Losses or deposition","If the observation is for a wind erosion event, then is the observation assessing erosion losses or deposition?",NA
"543","Measurement","MeasWindErosionArea","Losses or deposition","If the observation is for a wind erosion event, then is the observation assessing erosion losses or deposition?",NA
"544","Measurement","MeasSoilPhys","Lower cm","Soil horizon depth, lower, centimeter","cm"
"545","Measurement","MeasSoilChem","Lower cm","Lower soil layer, soil, centimeters","cm"
"546","Measurement","MeasSoilBiol","Lower cm","Lower soil layer, soil, centimeters","cm"
"547","Measurement","MeasARGenes","Lower cm","Lower soil layer, soil, centimeters","cm"
"548","Measurement","MeasSoilPhys","Macro Aggregates STD %","Micro or Macroaggregation, percent StdDev","%"
